"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"?","1","","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Min-easyedapro:",""
"B1","1","BH-18650-A1BJ033","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:BAT-TH_BH-18650-A1BJ033","https://item.szlcsc.com/datasheet/BH-18650-A1BJ033/51625447.html"
"C4,C7,C8","3","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:C0402","https://item.szlcsc.com/datasheet/CL05B104KO5NNNC/1877.html"
"C5,C6","2","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:C0402","https://item.szlcsc.com/datasheet/CL05A106MQ5NUNC/16204.html"
"D1,D2","2","SS14F","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:SMF_L3.5-W2.5-LS4.5-RD","https://item.szlcsc.com/datasheet/SS14F/52814923.html"
"EX1,EX2,EX3,EX4","4","2.54-1*4","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:HDR-TH_4P-P2.54-V-M-1","https://item.szlcsc.com/datasheet/2.54-1*4/5692726.html"
"Motor1,Motor2,Motor3,Motor4","4","B2B-XH-A(LF)(SN)","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:CONN-TH_B2B-XH-A-LF-SN","https://item.szlcsc.com/datasheet/B2B-XH-A(LF)(SN)/169360.html"
"Q1","1","FS8205A","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","https://atta.szlcsc.com/upload/public/pdf/source/20210810/F53B6D4E8755A1F8E11BAF814CE98E6A.pdf"
"R1","1","10kΩ","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:R0402","https://item.szlcsc.com/datasheet/0402WGF1002TCE/26487.html"
"R2","1","1.2kΩ","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:R0603","https://item.szlcsc.com/datasheet/0603WAF1201T5E/23492.html"
"R3,R6","2","5.1kΩ","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:R0402","https://item.szlcsc.com/datasheet/RMC04025.1K5%2525N/305729.html"
"R4","1","100Ω","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:R0805","https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf"
"R5","1","1kΩ","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:R0805","https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf"
"U1","1","TB6612FNG,C,8,EL","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:SSOP-24_L8.3-W5.6-P0.65-LS7.6-BL","https://item.szlcsc.com/datasheet/TB6612FNG%252CC%252C8%252CEL/152848.html"
"U2","1","ESP32 S3 CAM KP","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:ESP32-S3-CAM KP",""
"U3","1","DW01A","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL","https://item.szlcsc.com/datasheet/DW01A/44291671.html"
"U5","1","TP4056-42-ESOP8","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","https://item.szlcsc.com/datasheet/TP4056-42-ESOP8/17264.html"
"U6","1","AP2112K-3.3TRG1","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","https://item.szlcsc.com/datasheet/AP2112K-3.3TRG1/25111500.html"
"USB1","1","XY-TYPE-C-6P","","","","","${EXCLUDE_FROM_POS_FILES}","ProPrj_Minirover Design_2026-09-03-import-fps:USB-C-SMD_TYPE-C-6P","https://item.szlcsc.com/datasheet/XY-TYPE-C-6P/56122231.html"
